MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
The Lifeguards,ROMANCE,3.8,143.0,107
Double Blended,ROMANCE,5.6,55.0,87
Sign Here,ROMANCE,6.2,246.0,100
Günesi Söndürmem Gerek,ROMANCE,3.6,191.0,105
Poppay Ki Wedding,ROMANCE,8.7,79.0,127
Komandir,ROMANCE,6.4,531.0,131
That Kind of Love,ROMANCE,5.7,331.0,136
PAPmusic - Animation for Fashion,ROMANCE,1.0,162.0,85
Welcome to My Side,ROMANCE,7.2,93.0,102
Bar MoskvaChiki,ROMANCE,5.1,106.0,91
36-24-36,ROMANCE,6.0,226.0,118
Ondu Sarala Prema Kathe,ROMANCE,7.6,718.0,149
Jee Ve Sohneya Jee,ROMANCE,6.6,263.0,141
Funmilayo Ransome-Kuti,ROMANCE,8.5,97.0,91
Love Syndrome: The Beginning,ROMANCE,6.1,57.0,90
A Mountain Between Us,ROMANCE,5.3,34.0,89
Babli,ROMANCE,6.9,569.0,134
ON i Ona,ROMANCE,4.6,81.0,90
Ma chi ti conosce,ROMANCE,5.9,140.0,105
"Chances Are, You and I",ROMANCE,6.1,142.0,132
Ibiza Dark,ROMANCE,8.4,18.0,95
A Soweto Love Story,ROMANCE,4.4,285.0,101
Once Upon a Honeymoon,ROMANCE,7.0,23.0,109
How to Make Love,ROMANCE,2.8,12.0,65
Christmas Overtime,ROMANCE,5.3,26.0,92
Pretty Boys,ROMANCE,5.4,34.0,67
Joy of Horses,ROMANCE,5.9,172.0,90
Sihinayaki Adare,ROMANCE,6.5,192.0,150
Ancika,ROMANCE,6.8,810.0,100
Heartbreak Motel,ROMANCE,7.0,310.0,115
Coven of the Black Cube,ROMANCE,7.4,21.0,97
Hrashwo Deergha,ROMANCE,7.0,97.0,150
14 Days Love,ROMANCE,6.9,11.0,112
A Thousand Faces,ROMANCE,8.7,138.0,85
Black Owner and Horny College Girls,ROMANCE,3.6,9.0,65
Kajolrekha,ROMANCE,6.3,180.0,156
On the Market,ROMANCE,4.0,8.0,95
Boda Love,ROMANCE,7.2,17.0,107
Gharjwai,ROMANCE,7.2,880.0,134
Lady Outlaw,ROMANCE,6.4,22.0,104
Hell City,ROMANCE,9.1,27.0,90
Vaagai,ROMANCE,7.9,176.0,119
Goreyan Naal Lagdi Zameen Jatt Di,ROMANCE,7.8,28.0,108
Could Have Waited for August,ROMANCE,6.2,853.0,112
Nado snimat filmy o lyubvi,ROMANCE,7.3,34.0,73
Skinny Love,ROMANCE,8.1,98.0,92
Usha Parinayam,ROMANCE,9.0,2100.0,144
Yumi's Cells: The Movie,ROMANCE,6.2,53.0,93
Stalker,ROMANCE,3.0,8.0,91
Majnoo,ROMANCE,9.6,61.0,123
Uang Panai' 2 Maha(r)l,ROMANCE,7.7,42.0,106
Nikdo me nemá rád,ROMANCE,5.7,45.0,84
Addy Daddy,ROMANCE,7.4,31.0,118
Hidden Flora,ROMANCE,7.2,18.0,93
Yo no soy esa,ROMANCE,4.9,286.0,95
Real Estate Sisters,ROMANCE,4.4,30.0,84
Three Secrets,ROMANCE,4.2,50.0,92
Land of Broken Hearts,ROMANCE,6.3,198.0,100
Love Mocktail 2,ROMANCE,8.8,3000.0,140
Heart Strings,ROMANCE,5.5,13.0,107
La piel en primavera,ROMANCE,6.9,51.0,100
Parahuna 2,ROMANCE,6.6,84.0,115
Morando com o Crush,ROMANCE,5.4,182.0,90
Die Ironie des Lebens,ROMANCE,6.6,76.0,109
Keshava Chandra Ramavath,ROMANCE,6.7,78.0,133
Swoon,ROMANCE,5.6,18.0,83
Once Upon A Love Story,ROMANCE,7.5,83.0,135
Buk Poketer Golpo,ROMANCE,7.9,225.0,95
"It's So Big It Hurts, Black Oppa",ROMANCE,5.6,9.0,61
Colour Palette,ROMANCE,9.4,49.0,87
Artist Unknown,ROMANCE,8.5,19.0,82
Vidya Vasula Aham,ROMANCE,6.6,92.0,102
Rokjesnacht,ROMANCE,4.8,236.0,95
A Heart for Christmas,ROMANCE,7.6,102.0,91
All's Fair in Love,ROMANCE,6.6,18.0,115
Yolki 11,ROMANCE,4.7,177.0,92
